label,hl_algorithm,goal_components,c,seed,err_vx,err_vy,err_yaw,ss_err_vx,ss_err_vy,t90_s,fall_rate,mean_ep_len,action_rate,act_legs,jacc,jacc_legs,jacc_arms,jacc_legs_p95,jacc_arms_p95,ajit_legs,ajit_legs_p95,qjit_legs,qjit_legs_p95,act_legs_rad,orient_dev,height_dev,ub_pose_dev,ub_arm_vel,mech_power_w,gait_match,cot,mech_power_copper_w,cot_copper,omega_xy,ss_vx_var,stride_period_s,T_pinned,payload_kg,vx_pinned
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,42,0.06640760600566864,0.06228390336036682,0.0934794470667839,0.053691424429416656,0.06147994101047516,0.68,0.0,300.5,0.9570096731185913,0.850172758102417,34.2410888671875,47.53603744506836,24.42571258544922,86.71895599365234,35.384334564208984,25716.40234375,76584.1640625,14949.1181640625,34018.67578125,0.21254318952560425,0.02743937261402607,0.010782992467284203,0.004158524330705404,0.27687200903892517,183.00929260253906,0.9402604103088379,0.5584582305789005,4010.748779296875,12.238918362893234,0.2259165644645691,0.0004460100899450481,0.34262770466205666,0.35,4,0.5
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,43,0.06655339896678925,0.06089705228805542,0.09293358027935028,0.0536247193813324,0.061471570283174515,0.74,0.0,300.5,0.9519798755645752,0.8447480797767639,34.2483024597168,47.62956237792969,24.377819061279297,88.73062896728516,34.07892608642578,25456.005859375,78017.625,15054.7900390625,33597.96484375,0.21118701994419098,0.026993729174137115,0.010695789940655231,0.0041690305806696415,0.2742749750614166,180.78045654296875,0.9416406154632568,0.5527120702580713,3958.91748046875,12.103861373433638,0.2265288084745407,0.00044483496458269656,0.34216974827355756,0.35,4,0.5
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,42,0.06995832175016403,0.06830114126205444,0.08628498017787933,0.05762412026524544,0.06678462773561478,0.58,0.0,300.5,0.8630523085594177,0.7684313654899597,31.60319709777832,43.190818786621094,23.140974044799805,79.43073272705078,29.578903198242188,21215.857421875,64667.86328125,12903.9873046875,29457.05859375,0.19210784137248993,0.02519313432276249,0.011715364642441273,0.0038195422384887934,0.2838570475578308,180.2364959716797,0.9829297065734863,0.5521661388453264,4265.13525390625,13.066516053637317,0.2294546216726303,0.00035711616510525346,0.3855421686746988,0.4,4,0.5
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,43,0.06994757056236267,0.06831331551074982,0.08627111464738846,0.05762498453259468,0.06680094450712204,0.58,0.0,300.5,0.8630837798118591,0.7685020565986633,31.625194549560547,43.23958206176758,23.141569137573242,79.48684692382812,29.60009765625,21210.4296875,64748.0703125,12944.265625,29294.359375,0.19212551414966583,0.02519093081355095,0.011719757691025734,0.0038186656311154366,0.28390100598335266,180.2535400390625,0.9829297065734863,0.552220004807112,4266.017578125,13.06925694509802,0.22932159900665283,0.00035684951581060886,0.3857358111501758,0.4,4,0.5
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,42,0.06433263421058655,0.07680277526378632,0.08993355184793472,0.05224239453673363,0.07562563568353653,0.6,0.0,300.5,0.822961151599884,0.719794750213623,30.596832275390625,41.239227294921875,22.886892318725586,80.54329681396484,30.159753799438477,20343.509765625,65695.2109375,12509.7861328125,28873.951171875,0.17994868755340576,0.02910836786031723,0.01205743383616209,0.003974306397140026,0.27549269795417786,177.256591796875,0.9470442533493042,0.5217740004145437,4384.826171875,12.907211473958077,0.22705870866775513,0.0005098397959955037,0.4354975900198469,0.45,4,0.5
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,43,0.06425397843122482,0.07496844232082367,0.0865892544388771,0.05245733633637428,0.07429883629083633,0.56,0.0,300.5,0.8221957087516785,0.717322826385498,30.426420211791992,40.72735595703125,22.9981689453125,81.23360443115234,29.77581024169922,20283.19140625,65650.8046875,12367.759765625,28457.564453125,0.1793307065963745,0.02840038388967514,0.011949807405471802,0.004040146712213755,0.27609801292419434,176.5808868408203,0.947838544845581,0.5203443543449273,4366.03076171875,12.865716779667403,0.22597219049930573,0.000510536483488977,0.4427788988181032,0.45,4,0.5
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,42,0.06345538794994354,0.08147504180669785,0.09349311143159866,0.052092552185058594,0.07923759520053864,0.46,0.0,300.5,0.8314660787582397,0.701474130153656,30.3251953125,39.025230407714844,24.32801628112793,78.01445770263672,31.175642013549805,19327.431640625,59172.2578125,11805.9951171875,28729.552734375,0.175368532538414,0.030788615345954895,0.013965899124741554,0.004380040802061558,0.2907816171646118,184.3877410888672,0.9168750047683716,0.5191557323716997,4588.6962890625,12.91977265802542,0.22108341753482819,0.0009561875485815108,0.47746347528753497,0.5,4,0.5
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,43,0.06346995383501053,0.08149188756942749,0.09367502480745316,0.05214398726820946,0.07925758510828018,0.46,0.0,300.5,0.8315459489822388,0.7015699744224548,30.344133377075195,39.06349563598633,24.329572677612305,79.34426879882812,31.53284454345703,19324.9140625,59670.76953125,11830.9697265625,28297.931640625,0.1753924936056137,0.03079340048134327,0.013970213010907173,0.0043798889964818954,0.2908932566642761,184.4659423828125,0.9169140458106995,0.5193611761055992,4590.033203125,12.923170699263746,0.22120584547519684,0.0009617896284908056,0.47761194029850745,0.5,4,0.5
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,42,0.06689885258674622,0.08775240182876587,0.09381413459777832,0.05670860409736633,0.08597981184720993,0.48,0.0,300.5,0.8674060702323914,0.6962376832962036,30.7188663482666,36.80439376831055,26.934045791625977,71.71210479736328,35.1624641418457,18867.69140625,58226.2265625,10815.9912109375,28323.322265625,0.1740594208240509,0.03220323845744133,0.015444658696651459,0.004517725668847561,0.32227352261543274,195.35565185546875,0.8607291579246521,0.5233662885898104,4736.6826171875,12.689779136941402,0.21812868118286133,0.0016687698662281036,0.5208545269582909,0.55,4,0.5
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,43,0.06702455878257751,0.08566601574420929,0.09346886724233627,0.05709763988852501,0.08537238091230392,0.56,0.0,300.5,0.8706977963447571,0.6989850997924805,30.612571716308594,36.48081970214844,26.993345260620117,70.84725189208984,34.93971633911133,19335.548828125,59420.10546875,10706.384765625,28090.958984375,0.17474627494812012,0.03150685131549835,0.015270134434103966,0.004530709236860275,0.32197216153144836,193.84645080566406,0.8631380200386047,0.5211106753430544,4713.36376953125,12.670770795009512,0.21607838571071625,0.0016792454989627004,0.5197969543147208,0.55,4,0.5
